Site Name;Management Domain;ManageObject;Start Time;Ambient temperature;Daily irradiation;Device connection status;Irradiance;PV Temperature
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 20:40;24,9;4,456;Online;0;25,1
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 20:45;24,9;4,456;Online;0;25,1
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 20:50;24,9;4,456;Online;0;25,1
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 20:55;24,9;4,456;Online;0;25,1
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 21:00;24,9;4,456;Online;0;25,1
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 21:05;24,9;4,456;Online;0;25
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 21:10;24,9;4,456;Online;0;25
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 21:15;24,8;4,456;Online;0;25
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 21:20;24,8;4,456;Online;0;25
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 21:25;24,8;4,456;Online;0;25
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 21:30;24,8;4,456;Online;0;25
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 21:35;24,8;4,456;Online;0;24,9
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 21:40;24,7;4,456;Online;0;24,9
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 21:45;24,8;4,456;Online;0;24,9
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 21:50;24,8;4,456;Online;0;24,9
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 21:55;24,7;4,456;Online;0;24,9
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 22:00;24,6;4,456;Online;0;24,8
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 22:05;24,5;4,456;Online;0;24,8
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 22:10;24,5;4,456;Online;0;24,7
Dharma Anugerah Indah 492.57 kWp;/PT Centra Multi Suryanesia;Logger-102356295648/WS-EM01102356295648;19/11/2024 22:15;24,5;4,456;Online;0;24,7
